Cluster ID,confidence_score,UUID,super_book_code,primary_author_name,full_book_title,stated_publication_years,illegal_date,canonical_UUID,canonical_super_book_code,canonical_primary_author_name,canonical_full_book_title,canonical_stated_publication_years,canonical_illegal_date
315,,NA,spbk0000054,"Genlis, Stéphanie Félicité [comtesse de]",Amant (l') anonyme: comédie en cinq actes,NA,NA,,,,,,
316,,NA,spbk0000055,"Arnaud, François-Thomas-Marie de Baculard [d']","Amans (les) malheureux, ou le Comte de Comminge, drame en trois actes et en vers",1774,NA,,,,,,
317,,NA,spbk0000056,"Baudrand, Barthélemi",Ame (l') élevée à Dieu par les réflexions et les sentiments pour chaque jour du mois  ,1777,NA,,,,,,
318,,NA,spbk0000057,"Le Prince de Beaumont, Marie","Américaines (les), ou La Preuve de la religion chrétienne par les lumières naturelles",1770-1771,NA,,,,,,
319,,NA,spbk0000058,"Mouhy, Charles de Fieux","Ami de la vertu, ou Mémoires et aventures de Monsieur d'Argicourt",NA,NA,,,,,,
320,,NA,spbk0000059,"Roy, Jean","Ami (l') des vieillards, présenté au Roi, par M. l'abbé Roy",1784,NA,,,,,,
321,,NA,spbk0000063,"Marivaux, Martin [de]",Ami (l') des lois,NA,NA,,,,,,
322,,NA,spbk0000066,"Fielding, Sarah",Vie (la) de David Simple,1782,NA,,,,,,
323,,NA,spbk0000067,NA,Ami de l'adolescence,NA,NA,,,,,,
324,,NA,spbk0000069,"Berquin, Arnaud",Ami (l') des enfans,NA,NA,,,,,,
325,,NA,spbk0000073,"Rowe, Elizabeth Singer","Amitié (l') après la mort, contenant les lettres des morts aux vivans et les lettres morales et amusantes",NA,NA,,,,,,
326,,NA,spbk0000074,NA,"Amitié fraternelle, ou Le Triomphe des vertus",1785,NA,,,,,,
327,,NA,spbk0000075,NA,Amours (les) et les aventures du Lord Fox. Traduits de l'anglois par M***,1786,NA,,,,,,
328,,NA,spbk0000076,NA,"Amours (les) de Charlot et Toinette, pièce dérobée à V***",NA,NA,,,,,,
329,,NA,spbk0000078,"Sacy, Claude-Louis-Michel [de]",Amours (les) de Sapho et de Phaon,1775,NA,,,,,,
330,,NA,spbk0000079,Longus,Amours (les) de Daphnis et Chloé. Traduction de 1782,NA,NA,,,,,,
331,,NA,spbk0000080,"d'Emèse, Héliodore","Amours de Théagènes et Chariclée, histoire éthiopique",1743,NA,,,,,,
332,,NA,spbk0000081,"Crébillon, Claude Prosper Jolyot de",Amours (les) de Zeokinizul roi des Kofirans. Ouvrage traduit de l'arabe du voyageur Krinelbol,1779,NA,,,,,,
333,,NA,spbk0000083,"Carmontelle, Louis Carrogis [de]","Amusemens de société, ou Proverbes dramatiques",1783,NA,,,,,,
334,,NA,spbk0000084,"Limbourg, Jean Philippe [de]",Amusemens (les) de Spa,1782-1783,NA,,,,,,
335,,NA,spbk0000085,"Pinetti, Giuseppe","Amusemens physiques et différentes expériences divertissantes, composées et exécutées tant à Paris que dans les diverses cours de l'Europe par le sieur Joseph Pinetti",1785,NA,,,,,,
336,,NA,spbk0000086,"Buc'hoz, Pierre-Joseph","Amusemens des dames dans les oiseaux de volière, ou traité des oiseaux qui peuvent servir d'amusement au beau sexe",NA,NA,,,,,,
337,,NA,spbk0000088,NA,"Amusemens du beau-sexe, ou Nouvelles Historiques et avantures galantes, tragiques, et comiques",1773-1774,NA,,,,,,
338,,NA,spbk0000089,"Bougeant, Guillaume-Hyacinthe",Amusement philosophique sur le langage des bêtes,1753,NA,,,,,,
339,,NA,spbk0000090,"Fielding, Henry",Amélie Booth: histoire angloise,1782,NA,,,,,,
340,,NA,spbk0000090,"Fielding, Henry","Amélie, histoire angloise",NA,NA,,,,,,
0,0.24239719,NA,spbk0000091,"Mercier, Louis-Sébastien",[An (l') deux mille quatre cent quarante],NA,NA,b'',b'spbk0000091',"b'Mercier, Louis-S\xc3\xa9bastien'","b""[An (l') deux mille quatre cent quarante]""",b'',b''
341,,NA,spbk0000091,"Mercier, Louis-Sébastien",An (l') deux mille quatre cent quarante: rêve s'il en fût jamais,1772,NA,,,,,,
342,,NA,spbk0000091,"Mercier, Louis-Sébastien","An deux mille quatre cent quarante (l'), rêve s'il en fût jamais",1774,NA,,,,,,
0,0.24239719,NA,spbk0000091,"Mercier, Louis-Sébastien",[An (l') deux mille quatre cent quarante],NA,NA,b'',b'spbk0000091',"b'Mercier, Louis-S\xc3\xa9bastien'","b""[An (l') deux mille quatre cent quarante]""",b'',b''
343,,NA,spbk0000092,"Daquin, Joseph","Analyse des eaux thermales d'Aix-en-Savoie, dans laquelle on expose les diverses manières d'user de ces eaux... et les différentes maladies pour lesquelles elles sont employées... par M. Joseph Daquin",1773,NA,,,,,,
344,,NA,spbk0000093,"Marsy, François-Marie [de]",Abrégé du dictionnaire de Bayle,NA,NA,,,,,,
345,,NA,spbk0000094,"Gilibert, Jean-Emmanuel","Anarchie (l') médicinale, ou La Médicine considérée comme nuisable à la société",1772,NA,,,,,,
346,,NA,spbk0000095,"Restif de la Bretonne, Nicolas-Edmé","Andrographe (l'), ou Idées d'un honnête homme sur un projet de règlement proposé à toutes les nations de l'Europe pour opérer une réforme générale des moeurs et, par elle, le bonheur du genre humain",1782,NA,,,,,,
347,,NA,spbk0000096,"Gorsas, Antoine-Joseph","Ane (l') promeneur, ou Critès promené par son ane; chef-d'oeuvre pour servir d'Apologie au goût, aux moeurs, à l'esprit, et aux découvertes du siècle. Première edition revue, corrigée, et précédée d'une préface à la mosaïque, dans le plus nouveau goût",1786,NA,,,,,,
348,,NA,spbk0000097,"Hornot, Antoine","Anecdotes américaines, ou Histoire abrégée des principaux événements arrivés dans le Nouveau monde",NA,NA,,,,,,
349,,NA,spbk0000098,Perrault,"Anecdotes originales de Pierre le Grand recueillies de la conversation de diverses personnes de distinction de St-Pétersbourg et de Moscou, par M. de Staehlin... Ouvrage traduit de l'allemand",1787,NA,,,,,,
350,,NA,spbk0000100,"Clément, Jean Marie Bernard de Dijon",Anecdotes dramatiques,1775,NA,,,,,,
351,,NA,spbk0000101,"Imbert de Boudeaux, Guillaume",Anecdotes du XVIII Siècle,NA,NA,,,,,,
352,,NA,spbk0000102,"Fabrice, Friedrich Ernst [bon von]","Anecdotes du séjour du roi de Suède à Bender, ou Lettres de M. le Bon de Fabrice pour servir d'éclaircissement à l'histoire de Charles XII",NA,NA,,,,,,
353,,NA,spbk0000104,"Pidansat de Mairobert, Mathieu-François",Anecdotes sur Mme la comtesse du Barry,NA,NA,,,,,,
1,0.20840949,NA,spbk0000105,"Rochette de La Morlière, Charles-Jacques-Louis-Auguste","Angola, histoire indienne; ouvrage sans vrai-semblance",1785,NA,b'',b'spbk0000105',"b'Rochette de La Morli\xc3\xa8re, Charles-Jacques-Louis-Auguste'","b'Angola, histoire indienne; ouvrage sans vrai-semblance'",b'1785',b''
